00001,22586,성상,식품,중력밀가루(1등급),식품/기타식품류/밀가루/밀가루/중력밀가루(1등급)/,고유의 색택을 가진 분말로 이미,이취가 없어야 한다,0,<=,<=,0,,
00002,22587,수분,식품,중력밀가루(1등급),식품/기타식품류/밀가루/밀가루/중력밀가루(1등급)/,15.5 이하,,NA,<=,15.5,12100,%
00003,22588,회분,식품,중력밀가루(1등급),식품/기타식품류/밀가루/밀가루/중력밀가루(1등급)/,0.6 이하,,NA,<=,0.6,22000,%
00004,22589,사분,식품,중력밀가루(1등급),식품/기타식품류/밀가루/밀가루/중력밀가루(1등급)/,0.03 이하,,NA,<=,0.03,16500,%
00005,86247,납,식품,중력밀가루(1등급),식품/기타식품류/밀가루/밀가루/중력밀가루(1등급)/,0.2 이하,,NA,<=,0.2,60500,mg/kg
00006,86248,카드뮴,식품,중력밀가루(1등급),식품/기타식품류/밀가루/밀가루/중력밀가루(1등급)/,0.2 이하,,NA,<=,0.2,71500,mg/kg
00007,22590,성상,식품,중력밀가루(2등급),식품/기타식품류/밀가루/밀가루/중력밀가루(2등급)/,고유의 색택을 가진 분말로 이미,이취가 없어야 한다,0,<=,<=,0,,
00008,22591,수분,식품,중력밀가루(2등급),식품/기타식품류/밀가루/밀가루/중력밀가루(2등급)/,15.5 이하,,NA,<=,15.5,12100,%
00009,22592,회분,식품,중력밀가루(2등급),식품/기타식품류/밀가루/밀가루/중력밀가루(2등급)/,0.9 이하,,NA,<=,0.9,22000,%
00010,22593,사분,식품,중력밀가루(2등급),식품/기타식품류/밀가루/밀가루/중력밀가루(2등급)/,0.03 이하,,NA,<=,0.03,16500,%
00011,86249,납,식품,중력밀가루(2등급),식품/기타식품류/밀가루/밀가루/중력밀가루(2등급)/,0.2 이하,,NA,<=,0.2,60500,mg/kg
00012,86250,카드뮴,식품,중력밀가루(2등급),식품/기타식품류/밀가루/밀가루/중력밀가루(2등급)/,0.2 이하,,NA,<=,0.2,71500,mg/kg
00013,22594,성상,식품,중력밀가루(3등급),식품/기타식품류/밀가루/밀가루/중력밀가루(3등급)/,고유의 색택을 가진 분말로 이미,이취가 없어야 한다,0,<=,<=,0,0,
00014,22595,수분,식품,중력밀가루(3등급),식품/기타식품류/밀가루/밀가루/중력밀가루(3등급)/,15.5 이하,,NA,<=,15.5,12100,%
00015,22596,회분,식품,중력밀가루(3등급),식품/기타식품류/밀가루/밀가루/중력밀가루(3등급)/,1.6 이하,,NA,<=,1.6,22000,%
00016,22597,사분,식품,중력밀가루(3등급),식품/기타식품류/밀가루/밀가루/중력밀가루(3등급)/,0.03 이하,,NA,<=,0.03,16500,%
00017,86251,납,식품,중력밀가루(3등급),식품/기타식품류/밀가루/밀가루/중력밀가루(3등급)/,0.2 이하,,NA,<=,0.2,60500,mg/kg
00018,86252,카드뮴,식품,중력밀가루(3등급),식품/기타식품류/밀가루/밀가루/중력밀가루(3등급)/,0.2 이하,,NA,<=,0.2,71500,mg/kg
00019,22598,성상,식품,영양강화밀가루,식품/기타식품류/밀가루/영양강화밀가루/,고유의 색택을 가진 분말로 이미,이취가 없어야 한다,0,<=,<=,0,,
00020,22599,수분,식품,영양강화밀가루,식품/기타식품류/밀가루/영양강화밀가루/,15.5 이하,,NA,<=,15.5,12100,%
00021,22600,회분,식품,영양강화밀가루,식품/기타식품류/밀가루/영양강화밀가루/,2.0 이하,,NA,<=,2,22000,%
00022,22601,사분,식품,영양강화밀가루,식품/기타식품류/밀가루/영양강화밀가루/,0.03 이하,,NA,<=,0.03,16500,%
00023,86253,납,식품,영양강화밀가루,식품/기타식품류/밀가루/영양강화밀가루/,0.2 이하,,NA,<=,0.2,60500,mg/kg
00024,86254,카드뮴,식품,영양강화밀가루,식품/기타식품류/밀가루/영양강화밀가루/,0.2 이하,,NA,<=,0.2,71500,mg/kg
00025,22602,물불용물,식품,벌꿀,식품/기타식품류/벌꿀/,0.5 이하,,NA,<=,0.5,16500,%
00026,22603,산도,식품,벌꿀,식품/기타식품류/벌꿀/,40.0 이하,,NA,<=,40,12100,meq/kg
00027,22604,수분,식품,벌꿀,식품/기타식품류/벌꿀/,21.0 이하,,NA,<=,21,12100,%
00028,22605,이성화당,식품,벌꿀,식품/기타식품류/벌꿀/,음성이어야 한다,0,<=,<=,0,,
00029,22606,인공감미료,식품,벌꿀,식품/기타식품류/벌꿀/,검출되어서는 아니된다,0,<=,<=,0,34100,
00030,22607,자당,식품,벌꿀,식품/기타식품류/벌꿀/,7.0 이하,,NA,<=,7,66000,%
00031,22608,전화당,식품,벌꿀,식품/기타식품류/벌꿀/,65.0 이상,65,<=,NA,,,%
00032,22609,타르색소,식품,벌꿀,식품/기타식품류/벌꿀/,검출되어서는 아니된다,0,<=,<=,0,39600,
